teamseq,team_name,team_tactics,team_formation,amblem_logo,team_uniform,league_logo
2,"FC 바르셀로나","티키타카, 점유율 중시",4-3-3,assets/img/barcelona_emb.jpg,assets/img/barcelona_uniform.jpg,assets/img/rariga_logo
3,"레알 마드리드","빠른역습, 측면플레이",4-3-3,assets/img/RealMadrid_emb.jpg,assets/img/RealMadrid_uniform,assets/img/rariga_logo
4,"AT 마드리드","버스 세우기, 롱볼플레이",4-4-2,assets/img/ATMadrid_emb.jpg,assets/img/ATMadrid_uniform.jpg,assets/img/rariga_logo
5,"세비야 FC","롱볼플레이, 빠른역습",4-2-3-1,assets/img/Sevilla_emb.jpg,assets/img/Sevilla_uniform.jpg,assets/img/rariga_logo
6,"맨체스터 시티 FC","티키타카, 측면플레이",3-2-4-1,assets/img/Manchester_emb.jpg,assets/img/Manchester_uniform.jpg,assets/img/epl_logo
7,"아스날 FC","점유율 중시, 빠른역습",4-3-3,assets/img/Arsenal_emb.jpg,assets/img/Arsenal_uniform.jpg,assets/img/epl_logo
8,"토트넘 홋스퍼 FC","점유율 중시, 빠른역습",4-2-3-1,assets/img/Tottenham_emb.jpg,assets/img/Tottenham_uniform.jpg,assets/img/epl_logo
9,"첼시 FC","빠른역습, 측면플레이",4-2-3-1,assets/img/Chelsea_emb.jpg,assets/img/Chelsea_uniform.jpg,assets/img/epl_logo
10,"맨체스터 유나이티드 FC","빠른역습, 롱볼플레이",4-2-3-1,assets/img/MU_emb.jpg,assets/img/MU_uniform.jpg,assets/img/epl_logo
11,"리버풀 FC","게겐프레싱, 빠른역습",4-3-3,assets/img/Liverpool_emb.jpg,assets/img/Liverpool_uniform.jpg,assets/img/epl_logo
13,"브라이튼 앤 호브 알비온 FC","점유율 중시, 빠른역습",4-3-3,assets/img/Brighton_emb.jpg,assets/img/Brighton_uniform.jpg,assets/img/epl_logo
14,"FC 바이에른 뮌헨","게겐프레싱, 점유율 중시",4-2-3-1,assets/img/Munich_emb.jpg,assets/img/Munich_uniform.jpg,assets/img/Bundesliga_logo
15,"보루시아 도르트문트","유연한 압박, 측면플레이",4-1-4-1,assets/img/Borussia_emb.jpg,assets/img/Borussia_uniform.jpg,assets/img/Bundesliga_logo
16,"RB 라이프치히","유연한 압박, 빠른역습",4-2-2-2,assets/img/RB_emb.jpg,assets/img/RB_uniform.jpg,assets/img/Bundesliga_logo
17,"바이엘 04 레버쿠젠","측면플레이, 빠른역습",3-4-2-1,assets/img/Bayer_emb.jpg,assets/img/Bayer_uniform.jpg,assets/img/Bundesliga_logo
